Источник,Кол-во новостей
Yandex,1224581
Регнум,173072
izvestia,104873
Lenta.ru,76803
RT,66764
Rg.ru,51881
ТАСС,48096
Life.ru,48081
АиФ,39027
investing,34188
Интерфакс,32426
Взгляд.ру,29705
M24.ru,28133
Mir24.TV,27599
ПРАЙМ,27234
Росбалт,26808
Rbc.ru,22653
Gazeta.ru,22425
Фонтанка.ru,22412
Парламентская газета,19136
"ТК ""Звезда""",18629
ТВ Центр,14058
Business FM,13507
Говорит Москва,11203
cnbc,8867
Forbes,8331
seekingalpha,8318
Независимая газета,7896
Эксперт,7655
Rusplt.ru,7218
techcrunch,6535
Znak.com,6262
Meduza.io,6025
Вести FM,5759
Polit.ru,5216
METRO,5096
ft,4915
Сноб,4267
Vesti.ru,4019
"ТК ""Дождь""",3791
Радио Свобода,3770
Ведомости,3198
Dni.ru,2968
Собеседник.Ру,2703
substack,1817
medium,684
finextra,683
nikkei,546
phonearena,423
appleinsider,338
tomshardware,248
visualcapitalist,138
spendmatters,138
Пятый канал,100
aheadoftheherd,98
agmetalminer,95
morningstar,90
technode,82
reutersagency,70
Newsru.com,64
PolitOnline,57
de_morningstar,46
